Player,Team,Pos,GP,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,W%
Aiming,KT Rolster,4,43,0.47,168,78,183,4.50,0.73,0.35,0.15,0.16,-1,-10,1.4,9.60,0.33,608,0.32,304,0.28,0.51,0.43,0.42
Bdd,Gen.G,3,43,0.58,168,68,251,6.20,0.64,0.26,0.17,0.23,-10,22,2.7,8.80,0.24,522,0.26,291,0.24,0.46,0.22,0.72
Ben,Afreeca Freecs,5,39,0.38,11,96,305,3.30,0.66,0.02,0.21,0.26,-113,4,-5.3,0.90,0.02,141,0.08,87,0.08,1.53,0.25,0.54
BeryL,DWG KIA,5,39,0.54,81,75,309,5.20,0.60,0.13,0.25,0.15,241,2,11.3,2.30,0.07,222,0.10,150,0.12,1.56,0.53,0.87
Beyond,Team Dynamics,2,44,0.45,71,132,263,2.50,0.70,0.15,0.21,0.20,-113,-69,-0.4,5.00,0.14,208,0.11,168,0.16,0.47,0.46,0.36
bonO,KT Rolster,2,33,0.55,65,79,173,3.00,0.68,0.19,0.21,0.61,34,-20,-0.6,5.30,0.15,210,0.11,184,0.17,0.62,0.5,0.42
CaD,Hanwha Life Esports,2,16,0.50,33,67,101,2.00,0.76,0.19,0.27,0.38,-130,-263,-4.1,4.00,0.10,204,0.11,146,0.15,0.52,0.3,0.25
Canna,T1,1,42,0.57,142,70,220,5.20,0.62,0.24,0.19,0.29,94,-8,-0.5,8.80,0.26,470,0.25,287,0.24,0.4,0.21,0.67
Canyon,DWG KIA,2,39,0.51,118,62,314,7.00,0.67,0.18,0.21,0.46,393,463,8.3,6.10,0.17,329,0.16,240,0.18,0.54,0.4,0.87
Chovy,DRX,3,45,0.49,152,94,246,4.20,0.65,0.25,0.19,0.24,203,181,7.6,9.80,0.28,532,0.26,309,0.26,0.39,0.4,0.71
Clid,Gen.G,2,43,0.44,117,80,307,5.30,0.65,0.18,0.20,0.21,-21,59,-0.7,5.60,0.16,280,0.14,212,0.18,0.72,0.53,0.72
Clozer,T1,3,14,0.29,60,21,69,6.10,0.55,0.26,0.19,0.14,138,226,0.5,9.00,0.24,482,0.25,286,0.23,0.41,0.14,0.86
CuVee,Hanwha Life Esports,1,11,0.64,22,44,28,1.10,0.58,0.26,0.28,0.00,-188,-97,-4.9,7.60,0.22,358,0.26,214,0.22,0.53,0.22,0.09
Cuzz,T1,2,35,0.40,75,60,220,4.90,0.63,0.16,0.21,0.43,121,135,4.6,5.70,0.14,264,0.14,199,0.17,0.54,0.54,0.69
Deft,DRX,4,45,0.60,157,87,259,4.80,0.67,0.25,0.18,0.24,137,128,3.5,9.20,0.28,565,0.27,296,0.24,0.53,0.36,0.71
deokdam,Team Dynamics,4,44,0.41,115,102,214,3.20,0.69,0.24,0.17,0.09,-208,-96,-5.6,8.90,0.30,461,0.25,267,0.26,0.39,0.28,0.36
Doran,DRX,1,45,0.47,137,126,218,2.80,0.58,0.22,0.26,0.18,-16,18,2.4,8.70,0.25,435,0.22,280,0.23,0.43,0.19,0.71
Dove,Liiv SANDBOX,3,9,0.67,17,23,23,1.70,0.65,0.27,0.18,0.22,-118,61,-1.1,8.70,0.27,410,0.25,242,0.26,0.52,0.23,0.11
